Date,Total,New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,761,248
3/18/2020,1020,259
3/19/2020,1298,278
3/20/2020,1686,388
3/21/2020,2006,320
3/22/2020,2292,286
3/23/2020,2900,608
3/24/2020,3617,717
3/25/2020,4361,744
3/26/2020,5296,935
3/27/2020,6239,943
3/28/2020,6894,655
3/29/2020,7417,523
3/30/2020,8653,1236
3/31/2020,9919,1266
4/1/2020,11258,1339
4/2/2020,12538,1280
4/3/2020,14019,1481
4/4/2020,15181,1162
4/5/2020,16157,976
4/6/2020,18090,1933
4/7/2020,20117,2027
4/8/2020,21984,1867
4/9/2020,23974,1990
4/10/2020,26035,2061
4/11/2020,27335,1300
4/12/2020,28266,931
4/13/2020,30267,2001
4/14/2020,33142,2875
4/15/2020,35744,2602
4/16/2020,38132,2388
4/17/2020,41139,3007
4/18/2020,42623,1484
4/19/2020,43714,1091
4/20/2020,46414,2700
4/21/2020,48616,2202
4/22/2020,51334,2718
4/23/2020,53753,2419
4/24/2020,56034,2281
4/25/2020,57534,1500
4/26/2020,58382,848
4/27/2020,60508,2126
4/28/2020,62616,2108
4/29/2020,64801,2185
4/30/2020,66857,2056
5/1/2020,68943,2086
5/2/2020,69983,1040
5/3/2020,70714,731
5/4/2020,72604,1890
5/5/2020,74350,1746
5/6/2020,76065,1715
5/7/2020,77761,1696
5/8/2020,79230,1469
5/9/2020,79915,685
5/10/2020,80302,387
5/11/2020,81611,1309
5/12/2020,83080,1469
5/13/2020,84425,1345
5/14/2020,85751,1326
5/15/2020,86877,1126
5/16/2020,87545,668
5/17/2020,87923,378
5/18/2020,89252,1329
5/19/2020,90347,1095
5/20/2020,91394,1047
5/21/2020,92407,1013
5/22/2020,93296,889
5/23/2020,93694,398
5/24/2020,93975,281
5/25/2020,94177,202
5/26/2020,95077,900
5/27/2020,95791,714
5/28/2020,96428,637
5/29/2020,96855,427
5/30/2020,96963,108
5/31/2020,96965,2
