Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,37,268
4/4/2020,37,305
4/5/2020,68,373
4/6/2020,80,453
4/7/2020,71,524
4/8/2020,100,624
4/9/2020,112,736
4/10/2020,108,844
4/11/2020,120,964
4/12/2020,113,1077
4/13/2020,162,1239
4/14/2020,121,1360
4/15/2020,175,1535
4/16/2020,174,1709
4/17/2020,170,1879
4/18/2020,168,2047
4/19/2020,176,2223
4/20/2020,172,2395
4/21/2020,161,2556
4/22/2020,152,2708
4/23/2020,190,2898
4/24/2020,197,3095
4/25/2020,149,3244
4/26/2020,152,3396
4/27/2020,161,3557
4/28/2020,143,3700
4/29/2020,165,3865
4/30/2020,143,4008
5/1/2020,176,4184
5/2/2020,140,4324
5/3/2020,139,4463
5/4/2020,132,4595
5/5/2020,137,4732
5/6/2020,138,4870
5/7/2020,130,5000
5/8/2020,109,5109
5/9/2020,105,5214
5/10/2020,123,5337
5/11/2020,126,5463
5/12/2020,113,5576
5/13/2020,112,5688
5/14/2020,98,5786
5/15/2020,117,5903
5/16/2020,86,5989
5/17/2020,79,6068
5/18/2020,90,6158
5/19/2020,69,6227
5/20/2020,81,6308
5/21/2020,64,6372
5/22/2020,79,6451
5/23/2020,65,6516
5/24/2020,56,6572
5/25/2020,55,6627
5/26/2020,66,6693
5/27/2020,60,6753
5/28/2020,41,6794
5/29/2020,32,6826
