Date,Total,New,Positive,Missing
1/22/2020,1,1,0,
1/23/2020,2,1,0,
1/24/2020,2,0,0,
1/25/2020,2,0,0,
1/26/2020,2,0,0,
1/27/2020,3,1,0,
1/28/2020,3,0,0,
1/29/2020,4,1,1,
1/30/2020,4,0,0,
1/31/2020,4,0,0,
2/1/2020,4,0,0,
2/2/2020,4,0,0,
2/3/2020,7,3,0,
2/4/2020,9,2,0,
2/5/2020,9,0,0,
2/6/2020,10,1,1,
2/7/2020,10,0,0,
2/8/2020,11,1,0,
2/9/2020,11,0,0,
2/10/2020,11,0,0,
2/11/2020,12,1,0,
2/12/2020,13,1,0,
2/13/2020,13,0,0,
2/14/2020,13,0,0,
2/15/2020,13,0,0,
2/16/2020,13,0,0,
2/17/2020,13,0,0,
2/18/2020,13,0,0,
2/19/2020,13,0,0,
2/20/2020,13,0,0,
2/21/2020,13,0,0,
2/22/2020,13,0,0,
2/23/2020,13,0,0,
2/24/2020,13,0,0,
2/25/2020,13,0,0,
2/26/2020,13,0,0,
2/27/2020,13,0,0,
2/28/2020,14,1,0,
2/29/2020,15,1,0,
3/1/2020,17,2,1,
3/2/2020,20,3,0,
3/3/2020,34,14,1,
3/4/2020,52,18,2,
3/5/2020,84,32,8,
3/6/2020,123,39,14,
3/7/2020,207,84,44,
3/8/2020,261,54,19,
3/9/2020,334,73,5,
3/10/2020,439,105,14,
3/11/2020,613,174,22,
3/12/2020,1031,418,29,
3/13/2020,1971,940,61,
3/14/2020,2874,903,73,
3/15/2020,3907,1033,68,
3/16/2020,6056,2149,150,
3/17/2020,8740,2684,248,
3/18/2020,11733,2993,259,
3/19/2020,14636,2903,278,
3/20/2020,18287,3651,388,
3/21/2020,20822,2535,320,
3/22/2020,22720,1898,286,
3/23/2020,26512,3792,608,
3/24/2020,30514,4002,717,
3/25/2020,34620,4106,744,
3/26/2020,39047,4427,935,
3/27/2020,43424,4377,943,
3/28/2020,46231,2807,655,
3/29/2020,48312,2081,523,
3/30/2020,53378,5066,1236,
3/31/2020,58631,5253,1266,
4/1/2020,63570,4939,1339,
4/2/2020,68813,5243,1280,
4/3/2020,74598,5785,1481,
4/4/2020,78602,4004,1162,
4/5/2020,82039,3437,976,
4/6/2020,88740,6701,1933,
4/7/2020,95354,6614,2027,
4/8/2020,102192,6838,1867,
4/9/2020,108685,6493,1990,
4/10/2020,116355,7670,2061,
4/11/2020,120749,4394,1300,
4/12/2020,123861,3112,931,
4/13/2020,130231,6370,2001,
4/14/2020,140032,9801,2875,
4/15/2020,150060,10028,2602,
4/16/2020,159044,8984,2388,
4/17/2020,170256,11212,3007,
4/18/2020,176369,6113,1484,
4/19/2020,180992,4623,1091,
4/20/2020,191892,10900,2700,
4/21/2020,201447,9555,2202,
4/22/2020,214116,12669,2718,
4/23/2020,225062,10946,2419,
4/24/2020,237485,12423,2281,
4/25/2020,245831,8346,1500,
4/26/2020,250739,4908,848,
4/27/2020,261821,11082,2126,
4/28/2020,274194,12373,2108,
4/29/2020,286905,12711,2185,
4/30/2020,300903,13998,2056,
5/1/2020,315195,14292,2086,
5/2/2020,322603,7408,1040,
5/3/2020,327702,5099,731,
5/4/2020,339988,12286,1890,
5/5/2020,352806,12818,1746,
5/6/2020,366244,13438,1715,
5/7/2020,379918,13674,1696,
5/8/2020,393436,13518,1469,
5/9/2020,399333,5897,685,
5/10/2020,402523,3190,387,
5/11/2020,414497,11974,1309,
5/12/2020,427853,13356,1469,
5/13/2020,441779,13926,1345,
5/14/2020,455328,13549,1326,
5/15/2020,469012,13684,1126,
5/16/2020,476151,7139,668,
5/17/2020,480425,4274,378,115
5/18/2020,493850,13425,1329,1
5/19/2020,506227,12377,1095,0
5/20/2020,519057,12830,1047,0
5/21/2020,531054,11997,1013,0
5/22/2020,542103,11049,889,0
5/23/2020,547036,4933,398,0
5/24/2020,551148,4112,281,0
5/25/2020,554276,3128,202,0
5/26/2020,565402,11126,900,0
5/27/2020,575230,9828,714,0
5/28/2020,583880,8650,637,0
5/29/2020,590949,7069,427,0
5/30/2020,592840,1891,108,0
5/31/2020,592853,13,2,0
